Model,Type,Stage,Unit,CO2,"CO2 (VOC, CO, CO2)",CH4,N2O,GHG,VOC,CO,NOx,PM10,PM2.5,SOx,BC,OC
CV,Fixed,Battery.Cu.Mine,g,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Fixed,Battery.Cu.Prod,g,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Fixed,Battery.Li.Prod,g,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Fixed,Battery.Graphite.Prod,g,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Fixed,Battery.Ni.Mine,g,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Fixed,Battery.Ni.Prod,g,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Fixed,Battery.Mn.Mine,g,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Fixed,Battery.Co.Mine,g,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Fixed,Battery.Co.Prod,g,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Fixed,Battery.Remainder,g,33193.777,33318.745,177.06,0.61,38792.095,20.959,37.956,44.072,49.855,24.614,480.052,0.213,0.515
CV,Fixed,Battery.Total,g,33193.777,33318.745,177.06,0.61,38792.095,20.959,37.956,44.072,49.855,24.614,480.052,0.213,0.515
CV,Fixed,Car.Cu.Mine,g,6762.787,6776.442,12.144,0.089,7164.45,0.873,6.959,6.609,2.258,1.119,2.684,0.02,0.082
CV,Fixed,Car.Cu.Prod,g,79423.056,79556.974,169.75,1.764,85116.817,9.76,65.863,91.084,11.056,6.807,4498.192,1.39,1.457
CV,Fixed,Car.Remainder,g,5234061.553,5365161.371,13973.527,133.333,5880101.773,32624.089,18722.714,5853.833,2300.962,1091.412,14935.672,33.683,75.61
CV,Fixed,Total,g,5353441.174,5484813.532,14332.481,135.796,6011175.135,32655.681,18833.492,5995.598,2364.131,1123.953,19916.599,35.307,77.664
HEV,Fixed,Battery.Cu.Mine,g,404.7038107,405.4871392,0.739954538,0.005472821,429.1360728,0.052069566,0.395210458,0.37468038,0.134616937,0.067319982,0.139160208,0.001279088,0.004971673
HEV,Fixed,Battery.Cu.Prod,g,4769.353624,4776.948595,10.30936288,0.117371321,5117.332881,0.580202979,3.682427645,5.300806859,0.649804872,0.405871916,271.412428,0.083675981,0.086600693
HEV,Fixed,Battery.Li.Prod,g,0,0,0,0,0,0,0,0,0,0,0,0,0
HEV,Fixed,Battery.Graphite.Prod,g,0,0,0,0,0,0,0,0,0,0,0,0,0
HEV,Fixed,Battery.Ni.Mine,g,89145.26975,89363.17635,203.3106762,6.851829463,97278.23144,17.49638272,103.966678,132.0872339,151.9999897,100.6801884,22062.84212,0.677939281,1.69037169
HEV,Fixed,Battery.Ni.Prod,g,33497.78353,33588.1433,84.00167207,0.991013929,36370.81215,9.667821719,38.32715369,36.27103086,49.83332954,2.103432581,583.7167665,0.431723552,0.635774597
HEV,Fixed,Battery.Mn.Mine,g,0,0,0,0,0,0,0,0,0,0,0,0,0
HEV,Fixed,Battery.Co.Mine,g,3220.809276,3228.430078,5.029854314,0.068877375,3397.578212,0.869134847,3.125817269,5.895337685,55.18982117,6.009898546,46.09026992,0.207515166,0.083193269
HEV,Fixed,Battery.Co.Prod,g,13910.73099,13930.09719,32.62859374,0.339640552,14998.95974,2.494728289,7.376065407,14.9554615,1.766037053,1.148712495,14.44565696,0.117833873,0.312203017
